,layer,alpha,success_rate,intervs
0,0,0.25,0.215,1
1,0,0.5,0.51,1
2,0,1.0,0.79,1
3,0,2.0,0.835,1
4,0,4.0,0.8,1
5,1,0.25,0.015,1
6,1,0.5,0.085,1
7,1,1.0,0.245,1
8,1,2.0,0.275,1
9,1,4.0,0.465,1
10,2,0.25,0.01,1
11,2,0.5,0.275,1
12,2,1.0,0.48,1
13,2,2.0,0.535,1
14,2,4.0,0.535,1
15,3,0.25,0.105,1
16,3,0.5,0.19,1
17,3,1.0,0.195,1
18,3,2.0,0.245,1
19,3,4.0,0.24,1
20,4,0.25,0.03,1
21,4,0.5,0.1,1
22,4,1.0,0.195,1
23,4,2.0,0.225,1
24,4,4.0,0.265,1
25,5,0.25,0.19,1
26,5,0.5,0.365,1
27,5,1.0,0.29,1
28,5,2.0,0.175,1
29,5,4.0,0.095,1
