,layer,alpha,success_rate,intervs
0,0,0.25,0.125,1
1,0,0.5,0.325,1
2,0,1.0,0.53,1
3,0,2.0,0.66,1
4,0,4.0,0.62,1
5,1,0.25,0.0,1
6,1,0.5,0.01,1
7,1,1.0,0.015,1
8,1,2.0,0.1,1
9,1,4.0,0.36,1
10,2,0.25,0.01,1
11,2,0.5,0.025,1
12,2,1.0,0.395,1
13,2,2.0,0.475,1
14,2,4.0,0.46,1
15,3,0.25,0.035,1
16,3,0.5,0.09,1
17,3,1.0,0.14,1
18,3,2.0,0.235,1
19,3,4.0,0.32,1
20,4,0.25,0.025,1
21,4,0.5,0.06,1
22,4,1.0,0.175,1
23,4,2.0,0.18,1
24,4,4.0,0.25,1
25,5,0.25,0.025,1
26,5,0.5,0.155,1
27,5,1.0,0.31,1
28,5,2.0,0.385,1
29,5,4.0,0.455,1
