,layer,alpha,success_rate,intervs
0,0,0.25,0.22,1
1,0,0.5,0.51,1
2,0,1.0,0.765,1
3,0,2.0,0.845,1
4,0,4.0,0.825,1
5,1,0.25,0.02,1
6,1,0.5,0.08,1
7,1,1.0,0.26,1
8,1,2.0,0.385,1
9,1,4.0,0.46,1
10,2,0.25,0.01,1
11,2,0.5,0.275,1
12,2,1.0,0.5,1
13,2,2.0,0.605,1
14,2,4.0,0.595,1
15,3,0.25,0.005,1
16,3,0.5,0.01,1
17,3,1.0,0.09,1
18,3,2.0,0.11,1
19,3,4.0,0.12,1
20,4,0.25,0.055,1
21,4,0.5,0.185,1
22,4,1.0,0.4,1
23,4,2.0,0.22,1
24,4,4.0,0.19,1
25,5,0.25,0.12,1
26,5,0.5,0.3,1
27,5,1.0,0.215,1
28,5,2.0,0.125,1
29,5,4.0,0.105,1
